--------------------------------------------------------------------------------
|
| SpringSource dm Server 
|
--------------------------------------------------------------------------------
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:20.031] QuartzScheduler_Worker-4                                                       System.out I Fee: 1000
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5                                                       System.out I ********************************************************************
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:30.015] QuartzScheduler_Worker-5                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:30.031] QuartzScheduler_Worker-5  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:30.031] QuartzScheduler_Worker-5                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:30.046] QuartzScheduler_Worker-5                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:30.046] QuartzScheduler_Worker-5                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:30.046] QuartzScheduler_Worker-5                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:30.046] QuartzScheduler_Worker-5                                                       System.out I Fee: 1000
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6                                                       System.out I ********************************************************************
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:40.015] QuartzScheduler_Worker-6  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:40.031] QuartzScheduler_Worker-6                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:40.031] QuartzScheduler_Worker-6                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:40.031] QuartzScheduler_Worker-6                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:40.031] QuartzScheduler_Worker-6                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:40.031] QuartzScheduler_Worker-6                                                       System.out I Fee: 1000
[2009-02-23 15:22:50.015] QuartzScheduler_Worker-7                                                       System.out I ********************************************************************
[2009-02-23 15:22:50.015] QuartzScheduler_Worker-7  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:22:50.015] QuartzScheduler_Worker-7                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
[2009-02-23 15:22:50.015] QuartzScheduler_Worker-7  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == COURSE
[2009-02-23 15:22:50.015] QuartzScheduler_Worker-7  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == com.apress.springrecipes.course.Course#1
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class org.hibernate.cache.ReadWriteCache$Item
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                                                       System.out I Course Title: Core Spring
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                                                       System.out I Begin Date: 2007-09-01 00:00:00.0
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                                                       System.out I End Date: 2007-10-01 00:00:00.0
[2009-02-23 15:22:50.031] QuartzScheduler_Worker-7                                                       System.out I Fee: 1000
[2009-02-23 15:23:00.015] QuartzScheduler_Worker-8                                                       System.out I ********************************************************************
[2009-02-23 15:23:00.015] QuartzScheduler_Worker-8  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
